_id	count	text	ethnic	lett	gender
4bdaa14b9d55821a51029a96	107650	Николай	['slav']	Н	m
4bdaa14b9d55821a51029a97	90136	Иван	['slav']	И	m
4bdaa14b9d55821a51029a98	65228	Василий	['slav']	В	m
4bdaa14b9d55821a51029a99	125657	Александр	['slav']	А	m
4bdaa14b9d55821a51029a9a	66402	Михаил	['slav']	М	m
4bdaa14b9d55821a51029a9b	47828	Мария	['slav']	М	f
4bdaa14b9d55821a51029a9c	58533	Алексей	['slav']	А	m
4bdaa14b9d55821a51029a9d	79697	Владимир	['slav']	В	m
4bdaa14b9d55821a51029a9e	36706	Петр	['slav']	П	m
4bdaa14b9d55821a51029a9f	45079	Анна	['slav']	А	f
4bdaa14b9d55821a51029aa0	47289	Виктор	['slav']	В	m
4bdaa14b9d55821a51029aa1	31791	Павел	['slav']	П	m
4bdaa14b9d55821a51029aa2	87087	Сергей	['slav']	С	m
4bdaa14b9d55821a51029aa3	22175	Александра	['slav']	А	f
4bdaa14b9d55821a51029aa4	29959	Нина	['slav']	Н	f
4bdaa14b9d55821a51029aa5	34574	Анатолий	['slav']	А	m
4bdaa14b9d55821a51029aa6	39405	Валентина	['slav']	В	f
4bdaa14b9d55821a51029aa7	17291	Федор	['slav']	Ф	m
4bdaa14b9d55821a51029aa8	50749	Дмитрий	['slav']	Д	m
4bdaa14b9d55821a51029aa9	17721	Григорий	['slav']	Г	m
4bdaa14b9d55821a51029aaa	16768	Борис	['slav']	Б	m
4bdaa14b9d55821a51029aab	20237	Вера	['slav']	В	f
4bdaa14b9d55821a51029aac	25704	Екатерина	['slav']	Е	f
4bdaa14b9d55821a51029aad	14051	Антонина	['slav']	А	f
4bdaa14b9d55821a51029aae	10758	Клавдия	['slav']	К	f
4bdaa14b9d55821a51029aaf	15972	Лидия	['slav']	Л	f
4bdaa14b9d55821a51029ab0	11823	Георгий	['slav']	Г	m
4bdaa14b9d55821a51029ab1	53632	Андрей	['slav']	А	m
4bdaa14b9d55821a51029ab2	24872	Надежда	['slav']	Н	f
4bdaa14b9d55821a51029ab3	61448	Татьяна	['slav']	Т	f
4bdaa14b9d55821a51029ab4	16649	Константин	['slav']	К	m
4bdaa14b9d55821a51029ab5	50881	Ольга	['slav']	О	f
4bdaa14b9d55821a51029ab6	12335	Зинаида	['slav']	З	f
4bdaa14b9d55821a51029ab7	28951	Евгений	['slav']	Е	m
4bdaa14b9d55821a51029ab8	16482	Леонид	['slav']	Л	m
4bdaa14b9d55821a51029ab9	13951	Анастасия	['slav']	А	f
4bdaa14b9d55821a51029aba	35994	Юрий	['slav']	Ю	m
4bdaa14b9d55821a51029abb	7295	Евдокия	['slav']	Е	f
4bdaa14b9d55821a51029abc	62254	Елена	['slav']	Е	f
4bdaa14b9d55821a51029abd	10902	Валентин	['slav']	В	m
4bdaa14b9d55821a51029abe	6474	Семен	['slav']	С	m
4bdaa14b9d55821a51029abf	17816	Тамара	['slav']	Т	f
4bdaa14b9d55821a51029ac0	6896	Степан	['slav']	С	m
4bdaa14b9d55821a51029ac1	33512	Галина	['slav']	Г	f
4bdaa14b9d55821a51029ac2	8603	Зоя	['slav']	З	f
4bdaa14b9d55821a51029ac3	5407	Яков	['slav']	Я	m
4bdaa14b9d55821a51029ac4	8091	Илья	['slav']	И	m
4bdaa14b9d55821a51029ac5	17162	Любовь	['slav']	Л	f
4bdaa14b9d55821a51029ac6	10194	Евгения	['slav']	Е	f
4bdaa14b9d55821a51029ac7	16960	Геннадий	['slav']	Г	m
4bdaa14b9d55821a51029ac8	9280	Раиса	['slav']	Р	f
4bdaa14b9d55821a51029ac9	34702	Людмила	['slav']	Л	f
4bdaa14b9d55821a51029aca	5162	Елизавета	['slav']	Е	f
4bdaa14b9d55821a51029acb	51413	Наталья	['slav']	Н	f
4bdaa14b9d55821a51029acc	4496	Аркадий	['slav']	А	m
4bdaa14b9d55821a51029acd	3106	Пелагея	['slav']	П	f
4bdaa14b9d55821a51029ace	3048	Прасковья	['slav']	П	f
4bdaa14b9d55821a51029acf	19745	Виталий	['slav']	В	m
4bdaa14b9d55821a51029ad0	3632	Егор	['slav']	Е	m
4bdaa14b9d55821a51029ad1	3266	Таисия	['slav']	Т	f
4bdaa14b9d55821a51029ad2	2868	Лев	['slav']	Л	m
4bdaa14b9d55821a51029ad3	2556	Тимофей	['slav']	Т	m
4bdaa14b9d55821a51029ad4	2299	Варвара	['slav']	В	f
4bdaa14b9d55821a51029ad5	41970	Ирина	['slav']	И	f
4bdaa14b9d55821a51029ad6	14477	Вячеслав	['slav']	В	m
4bdaa14b9d55821a51029ad7	29285	Игорь	['slav']	И	m
4bdaa14b9d55821a51029ad8	1867	Вениамин	['slav']	В	m
4bdaa14b9d55821a51029ad9	1609	Афанасий	['slav']	А	m
4bdaa14b9d55821a51029ada	1617	Серафима	['slav']	С	f
4bdaa14b9d55821a51029adb	2557	Иосиф	['slav']	И	m
4bdaa14b9d55821a51029adc	2160	Полина	['slav']	П	f
4bdaa14b9d55821a51029add	1352	Ефим	['slav']	Е	m
4bdaa14b9d55821a51029ade	1360	Филипп	['slav']	Ф	m
4bdaa14b9d55821a51029adf	1221	Кузьма	['slav']	К	m
4bdaa14b9d55821a51029ae0	1773	Софья	['slav']	С	f
4bdaa14b9d55821a51029ae1	25414	Олег	['slav']	О	m
4bdaa14b9d55821a51029ae2	2252	София	['slav']	С	f
4bdaa14b9d55821a51029ae3	16728	Юлия	['slav']	Ю	f
4bdaa14b9d55821a51029ae4	2654	Ксения	['slav']	К	f
4bdaa14b9d55821a51029ae5	4056	Маргарита	['slav']	М	f
4bdaa14b9d55821a51029ae6	1502	Ираида	['slav']	И	f
4bdaa14b9d55821a51029ae7	10055	Максим	['slav']	М	m
4bdaa14b9d55821a51029ae8	5944	Антон	['slav']	А	m
4bdaa14b9d55821a51029ae9	1384	Фаина	['slav']	Ф	f
4bdaa14b9d55821a51029aea	21667	Валерий	['slav']	В	m
4bdaa14b9d55821a51029aeb	973	Матрена	['slav']	М	f
4bdaa14b9d55821a51029aec	987	Иннокентий	['slav']	И	m
4bdaa14b9d55821a51029aed	7950	Роман	['slav']	Р	m
4bdaa14b9d55821a51029aee	823	Тихон	['slav']	Т	m
